longitude,latitude,slope_degrees,elevation_m,event_datetime,temperature_2m_C,soil_temperature_level_1_C,soil_temperature_level_2_C,precip_hourly_mm,precip_3h_mm,precip_1d_mm,precip_3d_mm,landslide
9.2572,46.0161,0.0,197.0,2011-07-07 00:00:00,17.05453,16.31695000000002,18.7278,0.0025331974,0.0119984614000008,3.286349832999991,5.382242876693998,1
6.4793,43.4641,7.604698219635352,90.3419418334961,2010-06-15 00:00:00,17.70876000000004,19.397580000000005,21.03958,1.6285479,3.331988999999994,4.128783899999996,7.546374321132502,1
8.9745,46.8598,7.442464105793881,1176.22998046875,2016-05-13 00:00:00,0.2571700000000305,-0.102549999999951,-0.0923199999999724,0.82829595,3.4428238500000283,19.968647680000007,27.5788793663,1
9.0563,44.3804,36.73368643819747,27.788524627685547,2014-01-19 00:00:00,7.785730000000001,7.6077000000000226,8.14205000000004,0.38030744,1.8778741399999868,30.418157680000004,97.311902638,1
7.6639,44.6467,2.0199384643729634,314.1044921875,2008-05-30 00:00:00,13.409500000000037,14.278770000000009,14.770440000000008,3.0243099,8.365541699999994,53.70308465999999,72.19163886499997,1
9.3134,44.3471,17.938249160275316,104.80036926269531,2014-11-10 00:00:00,,,,,,,,1
7.3968,46.9602,8.821315741594578,566.799072265625,2016-05-14 00:00:00,8.739860000000022,8.838220000000035,9.599150000000009,0.2746936,0.7059043400000202,15.974784400000011,51.4647198175,1
9.2386,45.97,15.283537360168799,269.0129699707031,2013-12-26 00:00:00,2.6020000000000323,3.0125400000000013,3.172450000000026,4.072115,12.361373999999955,69.0378178,89.90895716819999,1
8.98,45.97,36.27819176076116,539.6371459960938,2008-07-14 00:00:00,12.401200000000015,13.778340000000014,16.095420000000047,1.7954744,7.001232300000009,53.503762740000006,107.70221954439,1
13.8002,45.6621,20.26618025557832,137.26522827148438,2014-10-14 00:00:00,16.803500000000042,17.136930000000007,17.847620000000006,2.3781657,5.907297199999984,14.979267639000016,18.57880099419999,1
11.2315,46.3291,32.82867757763337,467.53436279296875,2014-01-21 20:20:00,2.6539600000000405,0.4730000000000132,0.5727800000000229,0.0013199589999999,0.001349761321996,0.0396030907560008,18.161703740855994,1
7.1583,44.1867,20.138816183387867,2016.6114501953125,2014-02-23 05:00:00,-5.309299999999951,2.2830000000000155,2.552030000000002,0.0,0.0,0.0029236078050071,2.556828990116998,1
9.6882,44.2408,3.911978613680915,285.0453186035156,2011-10-25 00:00:00,9.620660000000044,10.080100000000016,11.488370000000032,1.2268424,1.846849919999996,2.838659351065007,2.840456431028995,1
6.7933,45.8892,23.38903839159291,1021.8928833007812,2015-05-02 00:00:00,1.0165000000000075,-0.3648999999999773,-0.3626999999999611,4.3473690000000005,12.01468700000001,72.6991367,82.48543874132291,1
7.2325,43.7276,35.79811640740093,226.46482849121094,2014-11-05 00:00:00,14.56313,14.170000000000016,14.593960000000038,4.2130053,12.3259125,94.3263321,104.109084119374,1
6.9932,46.4093,61.24036353627149,1813.9207763671875,1995-08-14 00:00:00,12.378080000000011,13.365000000000007,14.688620000000014,0.08364301,0.4477202900000137,12.91254167359,35.02586489242001,1
7.2253,46.4873,9.485215944277526,1010.137939453125,2014-07-13 00:00:00,5.87148000000002,7.775480000000016,8.795980000000043,1.4704764,3.3005475999999927,14.794135404000013,56.963438174,1
8.7412,46.6901,45.05681746717051,1981.729736328125,2016-03-14 23:00:00,-5.063099999999963,-0.8458299999999781,-0.5623999999999683,0.020444393,0.0636279580000038,0.3755032937700071,0.7802392181429973,1
6.7124,45.3917,25.034952432019484,1372.7294921875,2016-07-11 00:00:00,11.472500000000023,10.416560000000004,12.267179999999996,0.0,0.0030398368500116,2.758547658809997,4.089607959531005,1
8.5968,45.9,20.376783720856285,201.39990234375,2014-11-15 23:00:00,7.643060000000048,8.656460000000038,9.907039999999997,3.8534403,11.700332199999972,80.53828779999999,89.55637497992001,1
7.599044836,46.27197927,48.23838249183684,1917.321533203125,2016-07-22 00:00:00,12.715660000000014,12.02343000000002,13.374840000000006,0.0,0.2388954162599857,4.815667932959992,4.817926949140005,1
11.2603,44.3189,3.2962827729547,177.6022186279297,2010-05-15 23:00:00,9.319240000000036,10.103600000000029,11.317830000000017,0.3016293,1.4571398599999963,32.06242625,35.165214588221,1
6.8171,45.8549,34.27959416801484,3146.449462890625,2015-08-27 08:30:00,13.885100000000024,12.306970000000035,10.21786000000003,0.0,0.0009834766000119,0.00504582559308,13.66800654503978,1
8.4163,44.2136,37.233494314942895,19.83201789855957,2014-03-09 00:00:00,,,,,,,,1
7.376,45.7513,29.565915243119417,731.72607421875,2008-05-30 00:00:00,8.708340000000021,-0.2739599999999882,-0.4014300000000048,0.07712841,1.6402006500000057,22.216811539999995,43.563900231,1
8.9042,44.4979,8.653082885216158,92.0865249633789,2013-12-26 00:00:00,8.949670000000026,8.455900000000042,8.465419999999995,4.1747987,14.838583699999976,79.2686417,99.778993804,1
6.8971,45.9291,33.021478977442946,1500.1715087890625,2015-05-02 00:00:00,-0.8546000000000049,-0.6129499999999553,-0.6205199999999991,3.9457977,11.198386700000016,69.07626259999999,78.3546585211947,1
7.289,46.8769,1.412905378026811,596.493896484375,2014-07-13 00:00:00,13.002340000000004,13.61727000000002,14.489340000000029,0.14100969,0.7814616000000173,6.157272975999996,29.696637215999992,1
13.6488,47.562,9.673034880927135,516.7612915039062,2013-06-19 22:00:00,16.411339999999996,15.049300000000017,16.586330000000032,0.0,0.0,0.0044256448600071,2.149529735655781,1
12.3009,43.3135,7.517824059503256,253.0928955078125,2013-04-08 00:00:00,3.748379999999997,5.982900000000029,8.846429999999998,0.0,0.0,0.0466585146409999,8.475893512040999,1
12.5392,47.0015,5.525692643353884,981.8986206054688,2013-05-14 00:00:00,-1.511449999999968,-0.136699999999962,-0.1144799999999577,0.004976988,0.0170171265000071,1.1566162635000168,20.7204490965,1
12.9525,47.2943,7.499377688523072,791.932373046875,2013-06-02 00:00:00,2.7048300000000154,3.063440000000014,3.3212800000000016,3.976494,11.390179399999989,34.75791597600001,89.30287305599998,1
6.8446,45.8694,25.755732156760857,2569.06005859375,2015-05-02 09:00:00,3.75472000000002,-0.3594699999999875,-0.3584699999999543,0.0,0.0196658075000106,59.5337278415,93.1296152866,1
10.1432,44.0493,39.46630605703903,239.12232971191406,2010-10-31 23:00:00,,,,,,,,1
8.9804,46.0365,10.877104288937463,416.9903259277344,2014-11-16 02:30:00,5.723569999999995,7.334500000000048,8.502620000000036,3.0678557000000004,9.047035000000015,80.0933132,87.78985550614368,1
7.829,43.862,18.939729968041476,179.32867431640625,2010-11-01 00:00:00,9.041070000000047,9.515530000000012,10.614370000000008,3.0114502,9.683113699999982,66.324442496,87.1904227016547,1
8.8353,46.0155,28.74411459519808,645.4491577148438,2014-11-05 18:00:00,9.429700000000024,9.85250000000002,10.554220000000043,2.8811842,11.25809560000002,133.575977,193.4416283334,1
8.8888,47.2185,20.57473729910321,417.4398498535156,2013-06-02 09:00:00,9.104360000000042,9.088160000000016,8.392800000000022,1.3784617,4.717402100000022,54.0277323,137.388843537,1
10.127,44.0513,14.008801287043747,98.90286254882812,2010-10-31 23:00:00,14.032860000000028,13.130400000000009,12.79427000000004,2.4484843,7.319018299999975,76.3258488,78.8376956833636,1
7.2412,43.8214,17.831099324149818,305.651611328125,2014-11-04 00:00:00,10.980200000000025,11.528160000000014,12.478139999999996,2.7604247,4.868685699999995,8.4925200431,8.593799514538194,1
7.1526,44.8098,35.79010060130011,727.2167358398438,2008-05-30 00:00:00,9.911460000000034,10.669399999999996,11.13372000000004,0.7843524000000001,4.573196199999995,78.8856149,154.59732708,1
9.7197,44.2231,4.431710086748338,101.94728088378906,2011-10-26 00:00:00,14.14930000000004,13.484340000000032,13.198480000000018,2.0524338,9.685330099999996,95.702603,98.542201124169,1
7.4654,46.1013,50.97484787550774,2684.5126953125,2015-10-19 09:25:00,-2.858679999999993,-0.0368699999999648,0.4728600000000256,0.015087426,0.0539720059999862,4.127547135500012,4.175365449263009,1
11.4988,47.0272,39.14095239861464,1253.0595703125,2013-09-03 00:00:00,5.176840000000027,5.8910999999999945,8.892880000000048,0.0,0.0,0.0222027306399884,9.021341737729283,1
11.5224,47.422,55.094306972792346,1440.093505859375,2010-08-21 00:00:00,11.16067000000004,10.705399999999996,12.17025000000001,0.021100044,0.0703483239999845,0.9887911182000098,5.883107291169991,1
6.5319,45.3401,22.458086202825317,1717.908447265625,2015-02-27 00:00:00,-9.420999999999992,-0.3707599999999615,-0.0218999999999596,0.14322996,0.3318587200000271,0.3811192549818069,10.2952755769118,1
